model,split,threshold,precision,recall,f1,pred_positive_rate,pred_positive_count
lgbm_auc_default_seed777,test,0.75,0.4266994266994267,0.5349075975359343,0.4747152619589977,0.04670644939178334,1221
lgbm_auc_default_seed777,test,0.8,0.4827586206896552,0.47433264887063653,0.4785085447954428,0.03660775763139775,957
lgbm_auc_default_seed777,test,0.85,0.5512995896032832,0.4137577002053388,0.4727272727272727,0.027962665442582815,731
lgbm_auc_default_seed777,test,0.9,0.647410358565737,0.3336755646817248,0.44037940379403795,0.01920281539285441,502
lgbm_auc_default_seed777,test,0.95,0.752,0.19301848049281314,0.30718954248366015,0.009563155076122714,250
lgbm_auc_more_leaves_seed42,val,0.5,0.22381994373241637,0.7351129363449692,0.3431583992331656,0.12237013235406625,3199
lgbm_auc_more_leaves_seed42,val,0.6,0.28416013925152306,0.6704312114989733,0.3991442542787286,0.08790452145972,2298
lgbm_auc_more_leaves_seed42,val,0.65,0.31943720687858257,0.6293634496919918,0.42378154165226406,0.07340677836431796,1919
lgbm_auc_more_leaves_seed42,val,0.7,0.358974358974359,0.5749486652977412,0.4419889502762431,0.05967408767500574,1560
lgbm_auc_more_leaves_seed42,val,0.75,0.40455616653574233,0.528747433264887,0.4583889630618603,0.04869558564761686,1273
lgbm_auc_more_leaves_seed42,val,0.8,0.46403242147923,0.4702258726899384,0.46710861805201426,0.037755336240532476,987
lgbm_auc_more_leaves_seed42,val,0.85,0.5369393139841688,0.41786447638603696,0.46997690531177827,0.02899548619080407,758
lgbm_auc_more_leaves_seed42,val,0.9,0.6115107913669064,0.3490759753593429,0.4444444444444444,0.021268456889296915,556
lgbm_auc_more_leaves_seed42,val,0.95,0.7075812274368231,0.20123203285420946,0.3133493205435651,0.010595975824343967,277
lgbm_auc_more_leaves_seed42,test,0.5,0.22386144964720975,0.7166324435318275,0.3411534701857282,0.1192716701094025,3118
lgbm_auc_more_leaves_seed42,test,0.6,0.2862302483069977,0.6509240246406571,0.39761680777673253,0.08472955397444724,2215
lgbm_auc_more_leaves_seed42,test,0.65,0.32563138097796884,0.62217659137577,0.4275132275132275,0.07118812638665749,1861
lgbm_auc_more_leaves_seed42,test,0.7,0.37866666666666665,0.5831622176591376,0.45917542441390463,0.05737893045673629,1500
lgbm_auc_more_leaves_seed42,test,0.75,0.43507030603804797,0.5400410677618069,0.4819056344480073,0.04624741794812945,1209
lgbm_auc_more_leaves_seed42,test,0.8,0.4942528735632184,0.4856262833675565,0.48990160538581046,0.03660775763139775,957
lgbm_auc_more_leaves_seed42,test,0.85,0.5645604395604396,0.4219712525667351,0.48296122209165687,0.027847907581669343,728
lgbm_auc_more_leaves_seed42,test,0.9,0.6417004048582996,0.32546201232032856,0.4318801089918256,0.018896794430418484,494
lgbm_auc_more_leaves_seed42,test,0.95,0.7478991596638656,0.18275154004106775,0.29372937293729373,0.009104123632468824,238
lgbm_auc_more_leaves_seed2026,val,0.5,0.22602089268755934,0.7330595482546202,0.345511734817324,0.12084002754188662,3159
lgbm_auc_more_leaves_seed2026,val,0.6,0.27986200948684775,0.6663244353182751,0.3941694503492256,0.0887078264861143,2319
lgbm_auc_more_leaves_seed2026,val,0.65,0.3179405520169851,0.6149897330595483,0.4191742477256823,0.07206793665366078,1884
lgbm_auc_more_leaves_seed2026,val,0.7,0.3669250645994832,0.5831622176591376,0.45043616177636797,0.05921505623135185,1548
lgbm_auc_more_leaves_seed2026,val,0.75,0.4142059058260176,0.5328542094455853,0.46609788953749437,0.047930533241527046,1253
lgbm_auc_more_leaves_seed2026,val,0.8,0.4657258064516129,0.47433264887063653,0.46998982706002035,0.03794659934205493,992
lgbm_auc_more_leaves_seed2026,val,0.85,0.544137022397892,0.4240246406570842,0.4766301211771495,0.029033738811108562,759
lgbm_auc_more_leaves_seed2026,val,0.9,0.6143911439114391,0.34188911704312114,0.4393139841688654,0.020732920205034044,542
lgbm_auc_more_leaves_seed2026,val,0.95,0.717391304347826,0.2032854209445585,0.3168,0.010557723204039476,276
lgbm_auc_more_leaves_seed2026,test,0.5,0.226360103626943,0.7176591375770021,0.34416543574593794,0.11812409150026777,3088
lgbm_auc_more_leaves_seed2026,test,0.6,0.28226887003126394,0.648870636550308,0.3934018051665111,0.08564761686175502,2239
lgbm_auc_more_leaves_seed2026,test,0.65,0.33205268935236004,0.6211498973305954,0.43276108726752505,0.06969627419478235,1822
lgbm_auc_more_leaves_seed2026,test,0.7,0.3834231805929919,0.5841889117043121,0.4629780309194467,0.056766888531864436,1484
lgbm_auc_more_leaves_seed2026,test,0.75,0.4375,0.5318275154004107,0.48007414272474513,0.04529110244051718,1184
lgbm_auc_more_leaves_seed2026,test,0.8,0.4978678038379531,0.4794661190965092,0.4884937238493724,0.035880957845612425,938
lgbm_auc_more_leaves_seed2026,test,0.85,0.5589459084604715,0.4137577002053388,0.4755162241887906,0.027580139239537907,721
lgbm_auc_more_leaves_seed2026,test,0.9,0.6652977412731006,0.3326488706365503,0.44353182751540043,0.018629026088287048,487
lgbm_auc_more_leaves_seed2026,test,0.95,0.7430830039525692,0.19301848049281314,0.306438467807661,0.009677912937036187,253
lgbm_auc_more_leaves_seed777,val,0.5,0.22034937174379404,0.7381930184804928,0.33939107859334433,0.12481830005355367,3263
lgbm_auc_more_leaves_seed777,val,0.6,0.27489361702127657,0.6632443531827515,0.38868832731648617,0.08989365771555352,2350
lgbm_auc_more_leaves_seed777,val,0.65,0.31119059785385794,0.6252566735112937,0.4155578300921187,0.07486037793588861,1957
lgbm_auc_more_leaves_seed777,val,0.7,0.3532710280373832,0.582135523613963,0.439705312136487,0.06139545558870783,1605
lgbm_auc_more_leaves_seed777,val,0.75,0.3990646921278254,0.5256673511293635,0.45369960124058484,0.04907811185066177,1283
lgbm_auc_more_leaves_seed777,val,0.8,0.4523107177974435,0.4722792607802875,0.4620793571069814,0.0389029148496672,1017
lgbm_auc_more_leaves_seed777,val,0.85,0.5358539765319427,0.4219712525667351,0.47214244686961515,0.02933975977354449,767
lgbm_auc_more_leaves_seed777,val,0.9,0.6024734982332155,0.35010266940451745,0.44285714285714284,0.021650983092341824,566
lgbm_auc_more_leaves_seed777,val,0.95,0.7306273062730627,0.2032854209445585,0.3180722891566265,0.010366460102517022,271
lgbm_auc_more_leaves_seed777,test,0.5,0.21843434343434343,0.7104722792607803,0.3341380975374215,0.12118430112462704,3168
lgbm_auc_more_leaves_seed777,test,0.6,0.27957931638913236,0.6550308008213552,0.3918918918918919,0.08729247953484813,2282
lgbm_auc_more_leaves_seed777,test,0.65,0.32423756019261635,0.62217659137577,0.4263102356665494,0.07149414734909341,1869
lgbm_auc_more_leaves_seed777,test,0.7,0.3701550387596899,0.5882956878850103,0.4544012688342585,0.05921505623135185,1548
lgbm_auc_more_leaves_seed777,test,0.75,0.4210097719869707,0.5308008213552361,0.4695731153496821,0.046974217733914775,1228
lgbm_auc_more_leaves_seed777,test,0.8,0.49120992761116855,0.48767967145790553,0.48943843379701185,0.03699028383444266,967
lgbm_auc_more_leaves_seed777,test,0.85,0.5518169582772544,0.4209445585215606,0.4775771694816541,0.02842169688623671,743
lgbm_auc_more_leaves_seed777,test,0.9,0.6396761133603239,0.324435318275154,0.4305177111716621,0.018896794430418484,494
lgbm_auc_more_leaves_seed777,test,0.95,0.7375,0.18172484599589322,0.2915980230642504,0.009180628873077806,240
lgbm_pr_regularized_seed42,val,0.5,0.26750303520841767,0.6786447638603696,0.383744557329463,0.09452222477239691,2471
lgbm_pr_regularized_seed42,val,0.6,0.3292342090553382,0.6047227926078029,0.42634817227651106,0.06843393772473415,1789
lgbm_pr_regularized_seed42,val,0.65,0.3711967545638945,0.5636550308008214,0.4476151651039543,0.05657562543034198,1479
lgbm_pr_regularized_seed42,val,0.7,0.4238134887593672,0.5225872689938398,0.46804597701149425,0.04594139698569352,1201
lgbm_pr_regularized_seed42,val,0.75,0.4755244755244755,0.4887063655030801,0.4820253164556962,0.03829087292479535,1001
lgbm_pr_regularized_seed42,val,0.8,0.5343980343980343,0.446611909650924,0.4865771812080537,0.031137632927855558,814
lgbm_pr_regularized_seed42,val,0.85,0.5930930930930931,0.4055441478439425,0.4817073170731707,0.02547624512279091,666
lgbm_pr_regularized_seed42,val,0.9,0.6660039761431411,0.34394250513347024,0.45362220717670954,0.0192410680131589,503
