model,split,target_fpr,actual_fpr,recall_at_fpr,threshold,precision_at_fpr,pred_positive_rate,pred_positive_count
lgbm_auc_default_seed777,val,0.03,0.029879211697393517,0.5256673511293635,0.7548440025618334,0.4050632911392405,0.048351312064876445,1264
lgbm_auc_default_seed777,val,0.05,0.049229179910998094,0.6211498973305954,0.6654089074456628,0.32809110629067245,0.07053783184148114,1844
lgbm_auc_default_seed777,test,0.005,0.004966624284806103,0.2731006160164271,0.9241204357093974,0.680306905370844,0.014956774539055926,391
lgbm_auc_default_seed777,test,0.01,0.009933248569612207,0.38501026694045176,0.8721494701540399,0.6,0.023907887690306787,625
lgbm_auc_default_seed777,test,0.02,0.019747298156389065,0.4784394250513347,0.7988132605829057,0.48390446521287644,0.036837273353224696,963
lgbm_auc_default_seed777,test,0.03,0.02972027972027972,0.5472279260780287,0.741794787191171,0.41608118657298987,0.04900160661005279,1281
lgbm_auc_default_seed777,test,0.05,0.049705975842339475,0.6190965092402464,0.6571552590519786,0.32524271844660196,0.07092035804452605,1854
lgbm_auc_more_leaves_seed42,val,0.005,0.004926891290527654,0.2648870636550308,0.9337439236472508,0.675392670157068,0.014612500956315508,382
lgbm_auc_more_leaves_seed42,val,0.01,0.009933248569612207,0.37679671457905545,0.8846288783189883,0.5948136142625607,0.02360186672787086,617
lgbm_auc_more_leaves_seed42,val,0.02,0.01998569612205976,0.46611909650924027,0.8070976497834181,0.47439916405433646,0.03660775763139775,957
lgbm_auc_more_leaves_seed42,val,0.03,0.029799745708836617,0.5277207392197125,0.7509686957438698,0.40664556962025317,0.048351312064876445,1264
lgbm_auc_more_leaves_seed42,val,0.05,0.049864907819453276,0.6201232032854209,0.6579051267855663,0.32490586336740185,0.0711116211460485,1859
lgbm_auc_more_leaves_seed42,test,0.005,0.004966624284806103,0.27618069815195073,0.9216009630402338,0.682741116751269,0.015071532399969398,394
lgbm_auc_more_leaves_seed42,test,0.01,0.009774316592498411,0.37679671457905545,0.8740999537878386,0.598694942903752,0.023448856246652897,613
lgbm_auc_more_leaves_seed42,test,0.02,0.01998569612205976,0.4928131416837782,0.7931348712441991,0.4883011190233978,0.03760232575931451,983
lgbm_auc_more_leaves_seed42,test,0.03,0.029958677685950414,0.5503080082135524,0.7356024058992523,0.41550387596899224,0.04934588019279321,1290
lgbm_auc_more_leaves_seed42,test,0.05,0.049586776859504134,0.62217659137577,0.6511131216181545,0.3268608414239482,0.07092035804452605,1854
lgbm_auc_more_leaves_seed2026,val,0.005,0.004926891290527654,0.26283367556468173,0.933479144422666,0.6736842105263158,0.014535995715706527,380
lgbm_auc_more_leaves_seed2026,val,0.01,0.009933248569612207,0.3665297741273101,0.8851540248323457,0.5881383855024712,0.02321934052482595,607
lgbm_auc_more_leaves_seed2026,val,0.02,0.019866497139224414,0.4650924024640657,0.8093922970866948,0.4753410283315845,0.03645474715017979,953
lgbm_auc_more_leaves_seed2026,val,0.03,0.029958677685950414,0.5390143737166324,0.7465745064023023,0.4104769351055512,0.04892510136944381,1279
lgbm_auc_more_leaves_seed2026,val,0.05,0.049586776859504134,0.6108829568788501,0.6581223100517382,0.3228431904503527,0.07049957922117665,1843
lgbm_auc_more_leaves_seed2026,test,0.005,0.004966624284806103,0.2741273100616016,0.9242976332854644,0.6811224489795918,0.014995027159360417,392
lgbm_auc_more_leaves_seed2026,test,0.01,0.009972981563890655,0.3757700205338809,0.8712916202899346,0.593192868719611,0.02360186672787086,617
lgbm_auc_more_leaves_seed2026,test,0.02,0.019866497139224414,0.49075975359342916,0.7905480554500416,0.4887525562372188,0.03741106265779206,978
lgbm_auc_more_leaves_seed2026,test,0.03,0.029918944691671966,0.555441478439425,0.7311029661306724,0.4180834621329212,0.04949889067401117,1294
lgbm_auc_more_leaves_seed2026,test,0.05,0.04974570883661793,0.6242299794661191,0.6458406512022101,0.32688172043010755,0.071149873766353,1860
lgbm_auc_more_leaves_seed777,val,0.005,0.004966624284806103,0.2546201232032854,0.9349504825261902,0.6648793565683646,0.01426822737357509,373
lgbm_auc_more_leaves_seed777,val,0.01,0.009972981563890655,0.3726899383983573,0.885213396533811,0.5912052117263844,0.023487108866957387,614
lgbm_auc_more_leaves_seed777,val,0.02,0.019787031150667513,0.4517453798767967,0.8165348539095181,0.4690831556503198,0.035880957845612425,938
lgbm_auc_more_leaves_seed777,val,0.03,0.029879211697393517,0.5236139630390144,0.7531677869399097,0.4041204437400951,0.04827480682426746,1262
lgbm_auc_more_leaves_seed777,val,0.05,0.04954704386522568,0.6190965092402464,0.6642460439768619,0.32594594594594595,0.07076734756330809,1850
lgbm_auc_more_leaves_seed777,test,0.005,0.004966624284806103,0.2782340862422998,0.9195558986632368,0.6843434343434344,0.01514803764057838,396
lgbm_auc_more_leaves_seed777,test,0.01,0.009893515575333757,0.37782340862423,0.8766390555101697,0.5964343598055105,0.02360186672787086,617
lgbm_auc_more_leaves_seed777,test,0.02,0.01950890019071837,0.48767967145790553,0.8003853972423075,0.4917184265010352,0.03695203121413817,966
lgbm_auc_more_leaves_seed777,test,0.03,0.02972027972027972,0.5410677618069816,0.7426734371206948,0.41333333333333333,0.048772090888225844,1275
lgbm_auc_more_leaves_seed777,test,0.05,0.049586776859504134,0.62217659137577,0.6526900459330157,0.3268608414239482,0.07092035804452605,1854
lgbm_pr_regularized_seed42,val,0.005,0.004966624284806103,0.29876796714579057,0.9215240422418888,0.6995192307692307,0.0159130900466682,416
lgbm_pr_regularized_seed42,val,0.01,0.009853782581055308,0.3860369609856263,0.8634649343339249,0.6025641025641025,0.023869635070002296,624
lgbm_pr_regularized_seed42,val,0.02,0.019667832167832168,0.4856262833675565,0.7592652034472286,0.48863636363636365,0.03702853645474715,968
lgbm_pr_regularized_seed42,val,0.03,0.02968054672600127,0.5308008213552361,0.6877425437332054,0.40901898734177217,0.048351312064876445,1264
lgbm_pr_regularized_seed42,val,0.05,0.04994437380801017,0.6139630390143738,0.5936213127456018,0.32237196765498655,0.07095861066483054,1855
lgbm_pr_regularized_seed42,test,0.005,0.004966624284806103,0.29876796714579057,0.9122584849408809,0.6995192307692307,0.0159130900466682,416
