roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,pred_positive_count,support,positive_support,threshold,variant,split
0.8868383722167322,0.42463774555044465,0.5775127768313458,0.3480492813141684,0.43433696348494555,0.022454288118736135,587,26142,974,0.9,without_email_domain,test
0.8720253897912802,0.4078194750267463,0.185283218634198,0.7186858316221766,0.2946127946127946,0.14451839951036646,3778,26142,974,0.5,without_amount,val
0.8720253897912802,0.4078194750267463,0.2984749455337691,0.5626283367556468,0.3900355871886121,0.07023181087904522,1836,26142,974,0.7,without_amount,val
0.8720253897912802,0.4078194750267463,0.34976043805612594,0.5246406570841889,0.4197125256673511,0.05588707826486114,1461,26142,974,0.75,without_amount,val
0.8720253897912802,0.4078194750267463,0.4055220017256255,0.48254620123203285,0.4406938584153774,0.04433478693290491,1159,26142,974,0.8,without_amount,val
0.8720253897912802,0.4078194750267463,0.46868008948545864,0.43018480492813144,0.4486081370449679,0.03419784255221483,894,26142,974,0.85,without_amount,val
0.8720253897912802,0.4078194750267463,0.5538720538720538,0.337782340862423,0.41964285714285715,0.02272205646086757,594,26142,974,0.9,without_amount,val
0.8790486248630965,0.43004587484552315,0.1894536558847513,0.715605749486653,0.29959166129378895,0.14073139010022187,3679,26142,974,0.5,without_amount,test
0.8790486248630965,0.43004587484552315,0.31659142212189617,0.5759753593429158,0.4085943190094683,0.0677836431795578,1772,26142,974,0.7,without_amount,test
0.8790486248630965,0.43004587484552315,0.37383177570093457,0.5338809034907598,0.4397463002114165,0.05320939484354678,1391,26142,974,0.75,without_amount,test
0.8790486248630965,0.43004587484552315,0.4301572617946346,0.47741273100616016,0.45255474452554745,0.041351082549154615,1081,26142,974,0.8,without_amount,test
0.8790486248630965,0.43004587484552315,0.5,0.4209445585215606,0.45707915273132665,0.03136714864968251,820,26142,974,0.85,without_amount,test
0.8790486248630965,0.43004587484552315,0.5957820738137083,0.3480492813141684,0.4394037589112119,0.021765740953255296,569,26142,974,0.9,without_amount,test
0.8848852548655377,0.42489596231829707,0.19487179487179487,0.702258726899384,0.3050847457627119,0.13426669726876292,3510,26142,974,0.5,without_activity_time,val
0.8848852548655377,0.42489596231829707,0.32934847579199045,0.5657084188911704,0.4163203626747261,0.06399663376941321,1673,26142,974,0.7,without_activity_time,val
0.8848852548655377,0.42489596231829707,0.3745480838756327,0.5318275154004107,0.43954179041154007,0.052903373881110854,1383,26142,974,0.75,without_activity_time,val
0.8848852548655377,0.42489596231829707,0.4225978647686833,0.48767967145790553,0.45281220209723544,0.04299594522224772,1124,26142,974,0.8,without_activity_time,val
0.8848852548655377,0.42489596231829707,0.4824462061155153,0.43737166324435317,0.4588045234248788,0.03377706372886543,883,26142,974,0.85,without_activity_time,val
0.8848852548655377,0.42489596231829707,0.5587761674718197,0.35626283367556466,0.4351097178683386,0.023754877209088823,621,26142,974,0.9,without_activity_time,val
0.8776827113991106,0.42969389218379705,0.1981903093987157,0.6971252566735113,0.30863636363636365,0.1310534771631857,3426,26142,974,0.5,without_activity_time,test
0.8776827113991106,0.42969389218379705,0.33584905660377357,0.5482546201232033,0.4165366614664587,0.060821666284140465,1590,26142,974,0.7,without_activity_time,test
0.8776827113991106,0.42969389218379705,0.3813813813813814,0.5215605749486653,0.4405897658282741,0.05095249024558182,1332,26142,974,0.75,without_activity_time,test
0.8776827113991106,0.42969389218379705,0.43902439024390244,0.4804928131416838,0.4588235294117647,0.04077729324458725,1066,26142,974,0.8,without_activity_time,test
0.8776827113991106,0.42969389218379705,0.5048899755501223,0.4240246406570842,0.4609375,0.031290643409073525,818,26142,974,0.85,without_activity_time,test
0.8776827113991106,0.42969389218379705,0.5823223570190641,0.34496919917864477,0.4332688588007737,0.022071761915691226,577,26142,974,0.9,without_activity_time,test
0.8898977107921013,0.43765141412599534,0.19631735716219875,0.74435318275154,0.31069209342189846,0.14126692678448474,3693,26142,974,0.5,without_flow_risk,val
0.8898977107921013,0.43765141412599534,0.31942125765164164,0.5893223819301848,0.414290869722122,0.06873995868717007,1797,26142,974,0.7,without_flow_risk,val
0.8898977107921013,0.43765141412599534,0.3623789764868603,0.5379876796714579,0.43305785123966944,0.05531328896029378,1446,26142,974,0.75,without_flow_risk,val
0.8898977107921013,0.43765141412599534,0.4176013805004314,0.49691991786447637,0.45382090951711207,0.04433478693290491,1159,26142,974,0.8,without_flow_risk,val
0.8898977107921013,0.43765141412599534,0.48322147651006714,0.44353182751540043,0.4625267665952891,0.03419784255221483,894,26142,974,0.85,without_flow_risk,val
0.8898977107921013,0.43765141412599534,0.5664,0.36344969199178645,0.4427767354596623,0.023907887690306787,625,26142,974,0.9,without_flow_risk,val
0.8903322649210039,0.43959632136319804,0.20248868778280543,0.7351129363449692,0.31751662971175165,0.13526126539667968,3536,26142,974,0.5,without_flow_risk,test
0.8903322649210039,0.43959632136319804,0.3270918665886483,0.5739219712525667,0.41669772642564296,0.06537372810037488,1709,26142,974,0.7,without_flow_risk,test
0.8903322649210039,0.43959632136319804,0.3735632183908046,0.5338809034907598,0.43956043956043955,0.05324764746385127,1392,26142,974,0.75,without_flow_risk,test
0.8903322649210039,0.43959632136319804,0.42804085422469823,0.473305954825462,0.4495368113115553,0.04119807206793665,1077,26142,974,0.8,without_flow_risk,test
0.8903322649210039,0.43959632136319804,0.5102533172496985,0.4342915811088296,0.46921797004991683,0.031711422232422924,829,26142,974,0.85,without_flow_risk,test
0.8903322649210039,0.43959632136319804,0.6046099290780141,0.35010266940451745,0.4434330299089727,0.021574477851732842,564,26142,974,0.9,without_flow_risk,test
