roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,pred_positive_count,support,positive_support,threshold,model,split
0.8755086761521101,0.4714870600549108,0.4483648881239243,0.5349075975359343,0.48782771535580527,0.04444954479381838,1162,26142,974,0.7,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.5015576323987538,0.49589322381930184,0.49870934434692826,0.036837273353224696,963,26142,974,0.75,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.5577172503242542,0.4414784394250513,0.49283667621776506,0.029492770254762452,771,26142,974,0.8,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.6185737976782753,0.38295687885010266,0.47305009511731133,0.023066330043607988,603,26142,974,0.85,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.6952595936794582,0.3162217659137577,0.4347212420606916,0.01694591079488945,443,26142,974,0.9,lightgbm_tuned_small,test
0.8918729994804522,0.4628720534849315,0.23211920529801325,0.7197125256673511,0.3510265398097146,0.1155229133195624,3020,26142,974,0.5,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.3712737127371274,0.5626283367556468,0.4473469387755102,0.05646086756942851,1476,26142,974,0.7,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.41625207296849087,0.5154004106776181,0.46055045871559636,0.046132660087215976,1206,26142,974,0.75,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.4786235662148071,0.47125256673511295,0.47490946714950855,0.03668426287200673,959,26142,974,0.8,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.5384615384615384,0.41683778234086244,0.4699074074074074,0.028842475709586108,754,26142,974,0.85,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.6104129263913824,0.3490759753593429,0.4441541476159373,0.021306709509601406,557,26142,974,0.9,xgboost_default,val
0.8856062618546284,0.47268328660613307,0.23429541595925296,0.7084188911704312,0.35213064557285023,0.11265396679672558,2945,26142,974,0.5,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.3949820788530466,0.5657084188911704,0.46517517940059094,0.053362405324764745,1395,26142,974,0.7,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.4488888888888889,0.5184804928131417,0.4811815150071463,0.04303419784255221,1125,26142,974,0.75,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.5233219567690558,0.4722792607802875,0.496492174851592,0.033624053247647466,879,26142,974,0.8,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.5953757225433526,0.42299794661190965,0.49459783913565425,0.026470813250707673,692,26142,974,0.85,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.6535433070866141,0.3408624229979466,0.44804318488529016,0.019432331114681355,508,26142,974,0.9,xgboost_default,test
0.8924859033536932,0.45852376190964667,0.2134998513232233,0.7371663244353183,0.33110445008070094,0.12864356208400277,3363,26142,974,0.5,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.34359903381642515,0.5841889117043121,0.4326996197718631,0.06334633922423687,1656,26142,974,0.7,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.3933579335793358,0.5472279260780287,0.45770717045942466,0.05183230051258511,1355,26142,974,0.75,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.45200372786579684,0.49794661190965095,0.4738641914997557,0.04104506158671869,1073,26142,974,0.8,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.5160493827160494,0.42915811088295686,0.46860986547085204,0.030984622446637595,810,26142,974,0.85,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.5912897822445561,0.3624229979466119,0.44939528962444303,0.022836814321781043,597,26142,974,0.9,xgboost_tuned_small,val
0.8879347417795942,0.46258911559786187,0.21842267406038202,0.7279260780287474,0.3360189573459716,0.12416800550837732,3246,26142,974,0.5,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.3588456712672522,0.5872689938398358,0.4454828660436137,0.06097467676535843,1594,26142,974,0.7,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.42151394422310756,0.5431211498973306,0.474652310453118,0.04800703848213603,1255,26142,974,0.75,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.484,0.49691991786447637,0.49037487335359675,0.03825262030449086,1000,26142,974,0.8,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.5557011795543906,0.4353182751540041,0.4881980426021877,0.029186749292326526,763,26142,974,0.85,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.6327272727272727,0.35728952772073924,0.4566929133858268,0.02103894116746997,550,26142,974,0.9,xgboost_tuned_small,test
